star_id,mission,label,orbital_period,transit_duration,transit_depth,planet_radius,impact_parameter,transit_snr,mes,stellar_teff,stellar_logg,stellar_radius,mag
4913852,Kepler,CONFIRMED,8.11437482,2.2736,1558.0,2.1,0.573,,,3692.0,4.753,0.517,15.877
4932348,Kepler,FALSE_POSITIVE,38.036729482,4.34617,82872.0,27.5,0.501,,,5575.0,4.521,0.932,15.472
4936180,Kepler,CANDIDATE,4.64090031,35.512,2450.6,30.09,1.28,,,6463.0,4.5,0.826,15.27
11913073,Kepler,FALSE_POSITIVE,3.747838198,5.0642,616.0,13.65,1.121,,,5514.0,4.569,0.826,13.496
5021899,Kepler,CONFIRMED,21.81295996,4.3791,1175.4,3.38,0.053,,,5601.0,4.41,0.999,15.54
5077629,Kepler,FALSE_POSITIVE,7.91936937,3.3148,15148.0,10.34,0.733,,,5690.0,4.588,0.776,15.805
5115978,Kepler,CANDIDATE,1.028436523,1.8606,8098.0,72.77,1.5734,,,6228.0,4.428,0.99,15.202
5164255,Kepler,CONFIRMED,15.37562369,3.3169,15337.0,11.01,0.692,,,4986.0,4.496,0.833,16.422
5252423,Kepler,CONFIRMED,8.10363271,3.161,887.9,2.11,0.047,,,4861.0,4.574,0.732,15.289
5272878,Kepler,CONFIRMED,6.365839713,2.9721,780.7,2.44,0.524,,,5776.0,4.554,0.849,15.09
5283542,Kepler,FALSE_POSITIVE,5.97581754,3.065,962.4,3.86,0.941,,,6108.0,4.471,0.997,15.546
5649215,Kepler,FALSE_POSITIVE,2.446737317,4.7211,1177.9,26.25,1.241,,,5764.0,4.548,0.863,15.021
5651104,Kepler,CONFIRMED,3.04033046,1.8411,10859.0,8.99,0.736,,,5035.0,4.519,0.791,15.028
5792202,Kepler,CONFIRMED,15.33528675,3.897,3081.4,5.0,0.773,,,5251.0,4.581,0.817,15.855
5370302,Kepler,FALSE_POSITIVE,3.9043425,3.831,16228.0,12.28,0.709,,,5810.0,4.526,0.898,15.016
5372966,Kepler,FALSE_POSITIVE,9.286358079,3.49949,44791.0,17.61,0.377,,,5670.0,4.523,0.821,15.365
5376067,Kepler,FALSE_POSITIVE,3.951405455,2.1862,2453.9,31.44,1.276,,,6046.0,4.539,0.869,15.446
5436502,Kepler,CONFIRMED,23.65369415,8.2183,3341.8,7.89,0.008,,,5739.0,4.191,1.384,15.084
5456651,Kepler,CONFIRMED,11.76307164,2.9076,1037.3,2.35,0.048,,,4959.0,4.603,0.756,15.208
5481416,Kepler,FALSE_POSITIVE,2.384052875,3.0918,1268.1,17.06,1.178,,,4794.0,4.58,0.701,15.836
5531576,Kepler,CONFIRMED,7.953547,2.6312,875.4,2.25,0.3,,,4768.0,4.536,0.779,15.66
5534814,Kepler,FALSE_POSITIVE,4.859386384,2.2757,6044.3,38.33,1.259,,,6072.0,4.47,0.988,15.311
6291653,Kepler,CONFIRMED,10.526294577,2.5211,9768.0,8.24,0.644,,,5386.0,4.553,0.793,15.305
6392727,Kepler,CONFIRMED,4.583520948,2.7055,3812.1,5.39,0.045,,,5815.0,4.54,0.877,15.287
6422070,Kepler,CONFIRMED,3.76181843,3.5176,510.6,2.66,0.926,,,5653.0,4.472,0.949,15.257
6428700,Kepler,CONFIRMED,8.20396958,2.9667,1024.4,3.01,0.823,,,5015.0,4.499,0.826,15.376
5794379,Kepler,CONFIRMED,12.71809866,3.0957,1149.4,2.31,0.427,,,4702.0,4.592,0.686,15.389
5881688,Kepler,CONFIRMED,4.190425659,2.8589,2877.4,6.21,0.458,,,6073.0,4.392,1.135,15.27
6022556,Kepler,CONFIRMED,3.709870784,3.0694,2020.3,4.35,0.023,,,5727.0,4.463,0.978,15.581
6032497,Kepler,CONFIRMED,16.3297527,6.271,1187.5,3.75,0.791,,,5878.0,4.444,0.987,15.447
6061119,Kepler,CONFIRMED,27.807566216,4.21587,25391.0,13.84,0.782,,,5862.0,4.584,0.785,15.482
6191521,Kepler,CONFIRMED,80.8723469,11.195,3604.6,7.59,0.527,,,5510.0,4.222,1.238,15.201
6267425,Kepler,FALSE_POSITIVE,3.166465862,2.9381,4357.2,26.82,1.266,,,4968.0,4.575,0.704,15.999
3531558,Kepler,CONFIRMED,24.99324319,5.9409,269.6,2.29,0.686,,,5718.0,4.181,1.317,12.377
6276477,Kepler,CONFIRMED,10.35533116,3.1775,750.6,2.47,0.029,,,5501.0,4.462,0.918,15.018
6863998,Kepler,CONFIRMED,16.08518937,3.984,1442.4,3.68,0.867,,,5239.0,4.523,0.826,15.219
6867155,Kepler,CANDIDATE,235.9986399,8.2284,20715.0,10.59,0.778,,,4245.0,4.627,0.657,15.172
6948054,Kepler,CONFIRMED,7.49018305,2.7297,1123.6,2.56,0.02,,,5103.0,4.562,0.787,15.599
6435936,Kepler,CONFIRMED,56.0560754,4.685,1626.0,1.94,0.018,,,3593.0,4.757,0.491,15.849
6522242,Kepler,CONFIRMED,41.408316686,5.0264,22839.0,11.38,0.377,,,5522.0,4.586,0.747,15.196
6526710,Kepler,CANDIDATE,39.74893077,7.3051,15179.0,14.21,0.881,,,6122.0,4.487,0.964,15.344
6587280,Kepler,CONFIRMED,5.715425977,2.5242,908.1,2.47,0.348,,,5237.0,4.572,0.826,15.086
9471974,Kepler,CONFIRMED,49.18394185,11.3364,1646.2,8.2,0.035,,,5626.0,3.907,2.057,12.654
6599919,Kepler,CANDIDATE,13.61014819,2.594,5732.9,19.02,1.081,,,5697.0,4.46,0.903,15.06
6675056,Kepler,FALSE_POSITIVE,10.44331991,2.743,1159.8,2.66,0.23,,,4947.0,4.516,0.802,15.546
6685526,Kepler,CONFIRMED,2.237489571,1.8119,315.8,1.41,0.128,,,5265.0,4.58,0.81,15.001
6756669,Kepler,FALSE_POSITIVE,5.851520671,3.11058,33004.0,14.62,0.211,,,5532.0,4.53,0.806,15.33
6784235,Kepler,CONFIRMED,3.167893418,2.1814,781.2,2.62,0.026,,,5895.0,4.503,0.94,15.533
