iter	Passed	Remaining
1248	23369	4696
1249	23387	4677
1250	23404	4658
1251	23423	4639
1252	23442	4621
1253	23459	4602
1254	23475	4582
1255	23492	4563
1256	23508	4544
1257	23525	4525
1258	23542	4506
1259	23558	4487
1260	23575	4468
1261	23592	4449
1262	23609	4430
1263	23625	4411
1264	23642	4392
1265	23660	4373
1266	23679	4354
1267	23696	4335
1268	23713	4316
1269	23731	4297
1270	23748	4278
1271	23765	4259
1272	23782	4240
1273	23800	4222
1274	23817	4203
1275	23834	4184
1276	23852	4165
1277	23871	4146
1278	23889	4127
1279	23906	4108
1280	23923	4089
1281	23940	4071
1282	23956	4051
1283	23974	4033
1284	23992	4014
1285	24009	3995
1286	24025	3976
1287	24041	3957
1288	24058	3938
1289	24073	3918
1290	24090	3900
1291	24106	3880
1292	24122	3861
1293	24138	3842
1294	24154	3823
1295	24169	3804
1296	24185	3785
1297	24202	3766
1298	24218	3747
1299	24233	3728
1300	24250	3709
1301	24267	3690
1302	24283	3671
1303	24300	3652
1304	24316	3633
1305	24332	3614
1306	24349	3595
1307	24366	3576
1308	24383	3557
1309	24399	3538
1310	24415	3519
1311	24432	3500
1312	24449	3482
1313	24466	3463
1314	24483	3444
1315	24499	3425
1316	24515	3406
1317	24533	3387
1318	24551	3369
1319	24568	3350
1320	24584	3331
1321	24601	3312
1322	24619	3293
1323	24635	3274
1324	24651	3255
1325	24668	3237
1326	24685	3218
1327	24701	3199
1328	24717	3180
1329	24732	3161
1330	24749	3142
1331	24767	3123
1332	24784	3105
1333	24801	3086
1334	24817	3067
1335	24834	3048
1336	24851	3029
1337	24867	3010
1338	24883	2991
1339	24900	2973
1340	24916	2954
1341	24932	2935
1342	24948	2916
1343	24965	2897
1344	24981	2878
1345	24997	2859
1346	25014	2841
1347	25030	2822
1348	25045	2803
1349	25061	2784
1350	25077	2765
1351	25092	2746
1352	25106	2727
1353	25122	2708
1354	25138	2690
1355	25152	2671
1356	25167	2652
1357	25182	2633
1358	25197	2614
1359	25212	2595
1360	25227	2576
1361	25243	2557
1362	25260	2539
1363	25276	2520
1364	25293	2501
1365	25309	2482
1366	25324	2463
1367	25340	2445
1368	25355	2426
1369	25371	2407
1370	25387	2388
1371	25403	2370
1372	25420	2351
1373	25435	2332
1374	25451	2313
1375	25472	2295
1376	25494	2277
1377	25513	2258
1378	25530	2240
1379	25547	2221
1380	25563	2202
1381	25579	2184
1382	25594	2165
1383	25610	2146
1384	25626	2127
1385	25642	2109
1386	25657	2090
1387	25672	2071
1388	25688	2052
1389	25704	2034
1390	25719	2015
1391	25735	1996
1392	25750	1977
1393	25765	1959
1394	25780	1940
1395	25795	1921
1396	25810	1902
1397	25826	1884
1398	25842	1865
1399	25857	1846
1400	25872	1828
1401	25887	1809
1402	25903	1790
1403	25918	1772
1404	25934	1753
1405	25949	1734
1406	25965	1716
1407	25981	1697
1408	25996	1678
1409	26013	1660
1410	26027	1641
1411	26044	1623
1412	26060	1604
1413	26077	1586
1414	26093	1567
1415	26108	1548
1416	26124	1530
1417	26140	1511
1418	26157	1493
1419	26172	1474
1420	26186	1455
1421	26201	1437
1422	26215	1418
1423	26230	1399
1424	26245	1381
1425	26260	1362
1426	26276	1344
1427	26291	1325
1428	26308	1307
1429	26323	1288
1430	26338	1269
1431	26352	1251
1432	26367	1232
1433	26382	1214
1434	26397	1195
1435	26412	1177
1436	26427	1158
1437	26442	1140
1438	26457	1121
1439	26473	1103
1440	26487	1084
1441	26501	1065
1442	26516	1047
1443	26532	1028
1444	26547	1010
1445	26563	992
1446	26578	973
1447	26592	954
1448	26608	936
1449	26623	918
1450	26638	899
1451	26653	881
1452	26668	862
1453	26684	844
1454	26699	825
1455	26713	807
1456	26730	788
1457	26746	770
1458	26760	752
1459	26776	733
1460	26791	715
1461	26807	696
1462	26824	678
1463	26841	660
1464	26856	641
1465	26871	623
1466	26886	604
1467	26902	586
1468	26917	568
1469	26933	549
1470	26947	531
1471	26964	512
1472	26979	494
1473	26994	476
1474	27010	457
1475	27025	439
1476	27040	421
1477	27054	402
1478	27070	384
1479	27085	366
1480	27099	347
1481	27113	329
1482	27127	310
1483	27141	292
1484	27156	274
1485	27171	255
1486	27187	237
1487	27202	219
1488	27218	201
1489	27233	182
1490	27248	164
1491	27263	146
1492	27277	127
1493	27292	109
1494	27308	91
1495	27323	73
1496	27339	54
1497	27353	36
1498	27367	18
1499	27382	0
